code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;09/06/2022;COUSSINETS PALIER 1RZ STD;1;20;20
;;BATTERIE 45 AMP;1;65;65
;;POMPE A HUILE 1RZ;1;100;100
;;BATTERIE 70 AMP;1;95;95
;10/06/2022;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;COUSSINETS BIELLE 5AF;1;15;15
;;AMORTISSEUR AR L/C NM;2;25;50
;;POMPE A HUILE 1RZ;1;120;120
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 70 AMP;1;95;95
;11/06/2022;AMORTISSEUR AV IPSUM 33/43/19/20;2;25;50
;;AMORTISSEUR AV IPSUM 33/43/19/20;2;25;50
;;BOURRAGES VILBREQUIN AV 1RZ;1;4;4
;;BOURRAGES VILBREQUIN AV 1RZ;1;4;4
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;13/06/2022;BATTERIE 70 AMP;2;95;190
;;SEGMENTS ORG HIACE 1TR;1;100;100
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;DISQUE D'EMBRAYAGE COROLLA (124);1;15;15
;;DISQUE D'EMBRAYAGE COROLLA (124);1;15;15
;;DISQUE D'EMBRAYAGE COROLLA (124);1;15;15
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;BATTERIE 45 AMP;1;65;65
;;AMORTISSEUR AV L/C AM E3375;2;20;40
;14/06/2022;PNEU 185 R14 VANETTE;1;70;70
;;PNEU 185 R14 VANETTE;1;70;70
;;PNEU 185 R14 VANETTE;1;70;70
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;HUILE CITROL SAE 40 5L;6;9,67;58,02
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 45 AMP;1;65;65
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;15/06/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AV RAV4 AM ;2;25;50
;;AMORTISSEUR AV RAV4 AM ;2;25;50
;;HUILE HYDRAULIC 1L;24;1;24
;;SEGMENTS ORG 4Y;1;100;100
;;JOINT DE CULASSE 4Y;1;5;5
;;FILTRE A HUILE HIACE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;SEGMENTS ORG 4Y;1;100;100
;;SEGMENTS ORG 4Y;1;100;100
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;COLLE SILICONE TUBE;1;3;3
;;COLLE SILICONE TUBE;1;3;3
;;COLLE SILICONE TUBE;1;3;3
;;SEGMENTS ORG 4Y;1;100;100
;;SEGMENTS ORG 4Y;1;100;100
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;COLLE SILICONE TUBE;1;3;3
;;COLLE SILICONE TUBE;1;3;3
;;GRAISSE 0.5 KG;2;2,5;5
;;HUILE CITROL SAE 50 5L;2;12;24
;;FILTRE A HUILE FUSO 6D22(PAPIER);1;20;20
;;FILTRE A HUILE SUZUKI;1;10;10
;16/06/2022;COUSSINETS BIELLE 1RZ STD;1;20;20
;;POMPE A ESSENCE RIKA (PTS);1;25;25
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;FILTRE A HUILE DYNA (2210);1;10;10
;;BATTERIE 45 AMP;1;65;65
;;HUILE DE FREIN ORDINAIRE;1;1;1
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;17/06/2022;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;PLAQUETTE CARINA/RAV4 (394K);1;7;7
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;POMPE D'AMORSAGE L/C 1HZ;1;10;10
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;18/06/2022;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;SEGMENTS TP 1RZ;1;70;70
;;SEGMENTS TP 1RZ;1;70;70
;;HUILE CITROL SAE 50 5L;1;9,67;9,67
;;FILTRE A HUILE HIACE;1;5;5
;;FILTRE A HUILE HIACE;1;5;5
;;AMORTISSEUR AV RAV4 AM ;2;30;60
;;AMORTISSEUR AV RAV4 AM ;2;30;60
;;BOUGIE DE PRECHAUFFAGE (PETIT);4;3;12
;20/06/2022;BOUGIE DE PRECHAUFFAGE (PETIT);4;3;12
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A HUILE HIACE;1;3;3
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;JOINT DE CULASSE G13;1;10;10
;;POMPE HYDRAULIQUE HIACE 1RZ, 2RZ, 3L;1;75;75
;;ROTULE AMBOU HIACE;4;8;32
;;ROTULE AMBOU HIACE;4;8;32
;;ROTULE AMBOU HIACE;4;8;32
;;ROTULE AMBOU HIACE;4;8;32
;;BATTERIE 70 AMP;2;95;190
;21/06/2022;BATTERIE 50 AMP;1;75;75
;;POMPE A ESSENCE 3Y;1;25;25
;;TETE DE TRANSMISSION 23 DENTS;2;12;24
;;HUILE CALTEX HAVOLINE 4L;4;5;20
;;HUILE CALTEX HAVOLINE 4L;4;5;20
;;BOUGIE DENSO 16 CRAYON (4PCS);4;2,5;10
;;FILTRE A HUILE NISSAN;1;8;8
;;HUILE CITROL SAE 50 5L;2;9,67;19,34
;;HUILE CITROL SAE 50 5L;2;9,67;19,34
;;HUILE CITROL SAE 50 5L;2;9,67;19,34
;22/06/2022;BATTERIE 50 AMP;1;75;75
;;HUILE HYDRAULIC 5L;4;3;12
;;HUILE HYDRAULIC 5L;4;3;12
;;FILTRE A HUILE NISSAN;1;7;7
;;FILTRE A GASOIL FUSO;1;7;7
;;ROTULE SUPERIEURE HIACE;1;8;8
;;FILTRE A HUILE SUZUKI;1;5;5
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;PLATEAU 2L/2Y;1;30;30
;;DISQUE D'EMBRAYAGE 2L/2Y;1;20;20
;;SEGMENTS TP 3Y;1;80;80
;;SEGMENTS TP 3Y;1;80;80
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;23/06/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CALTEX HAVOLINE 1L;12;4,34;52,08
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;AMORTISSEUR AV PROBOX S333258F;1;25;25
;24/06/2022;HUILE CALTEX DELO 5L;1;20;20
;;JOINT DE CULASSE G13;1;10;10
;;FILTRE A HUILE SUZUKI;1;5;5
;;COUSSINETS BIELLE 5SFE STD;1;20;20
;;COLLE SILICONE TUBE;2;2,5;5
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;PLATEAU 2L/2Y;1;30;30
;25/06/2022;PLATEAU COROLLA;1;30;30
;;PLATEAU COROLLA;1;30;30
;;AMORTISSEUR AV IPSUM 33/43/19/20;2;27,5;55
;;HUILE CITROL SAE 50 5L;1;9,67;9,67
;27/06/2022;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;CREMAILLERE HIACE MECANIQUE/MANUEL;1;70;70
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;BATTERIE 50 AMP;1;75;75
;;BOUGIE IRIDIUM OKO (1PCS);4;10;40
;;BOUGIE IRIDIUM OKO (1PCS);4;10;40
;28/06/2022;PNEU 185 R14 VANETTE;2;70;140
;;AMORTISSEUR AR RAV4 AM 343271;2;20;40
;;ROTULE AMBOU HIACE;2;7,5;15
;;DISQUE D'EMBRAYAGE COROLLA (124);1;12;12
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;;BATTERIE 45 AMP;1;65;65
;;BATTERIE 50 AMP;1;75;75
;;HUILE HYDRAULIC 1L;12;2;24
;;HUILE HYDRAULIC 1L;12;2;24
;29/06/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;4;23;92
;;BATTERIE 70 AMP;1;95;95
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;AMORTISSEUR AV PROBOX S333258F;1;25;25
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;DECANTEUR HIACE 1RZ;1;8;8
;;DECANTEUR HIACE 1RZ;1;8;8
;;DECANTEUR HIACE 1RZ;1;8;8
;30/06/2022;PNEU 185 R14 VANETTE;2;70;140
;;JOINT DE CULASSE 4Y;1;5;5
;;COLLE SILICONE TUBE;1;2;2
;;COLLE SILICONE TUBE;1;2;2
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;01/07/2022;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;HUILE DE FREIN ORDINAIRE;1;1;1
;;HUILE DE FREIN ORDINAIRE;1;1;1
;;FILTRE A GASOIL FUSO;1;5;5
;;PLAQUETTE CARINA/RAV4 (394K);1;10;10
;;PLAQUETTE CARINA/RAV4 (394K);1;10;10
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;HUILE HYDRAULIC 1L;4;3,5;14
;02/07/2022;HUILE HYDRAULIC 1L;4;3,5;14
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;KIT JOINT MOTEUR  SUZUKI G16;1;30;30
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;COUPELLES D'EMBRAYAGE INFERIEUR PAJERO ROUGE;1;3;3
;04/07/2022;FILTRE A AIR L/C (61030);1;10;10
;;BATTERIE 70 AMP;1;95;95
;;DISQUE D'EMBRAYAGE L/C, DYNA 14B;1;40;40
;;POMPE D'AMORSAGE L/C 1HZ;1;15;15
;;HUILE DE FREIN ORG METAL;1;2;2
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;05/07/2022;HUILE CITROL SAE 50 5L;12;9,67;116,04
;;COLLE SILICONE TUBE;2;2,5;5
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;20;40
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;06/07/2022;POMPE A ESSENCE RIKA (GRDS);1;25;25
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;ROTULE AMBOU COROLLA;2;5;10
;;FILTRE A HUILE SUZUKI;1;3;3
;;GRAISSE 0.5 KG;1;3;3
;;GRAISSE 0.5 KG;1;3;3
;;GRAISSE 0.5 KG;1;3;3
;;GRAISSE 0.5 KG;1;3;3
;;ROTULE VANETTE TRACTION;4;12,5;50
;07/07/2022;HUILE CITROL SAE 50 5L;1;9,67;9,67
;;FILTRE A HUILE SUZUKI;1;15;15
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;FILTRE A HUILE SUZUKI;1;5;5
;;FILTRE A HUILE SUZUKI;1;5;5
;;FILTRE A HUILE SUZUKI;1;5;5
;;BATTERIE 50 AMP;1;75;75
;08/07/2022;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;;DEMARREUR HIACE 1RZ;1;80;80
;;BATTERIE 50 AMP;1;75;75
;;GRAISSE SEAUX;1;35;35
;;GRAISSE SEAUX;1;35;35
;;GRAISSE SEAUX;1;35;35
;;GRAISSE SEAUX;1;35;35
;11/07/2022;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;POMPE D'AMORSAGE L/C 1HZ;1;15;15
;;POMPE D'AMORSAGE L/C 1HZ;1;15;15
;;POMPE A ESSENCE RIKA (PTS);1;14;14
;;HUILE DE TRAITEMENT;1;4,5;4,5
;;HUILE DE TRAITEMENT;1;4,5;4,5
;;BATTERIE 50 AMP;1;75;75
;;POMPE A ESSENCE 3Y;1;30;30
;;POMPE A ESSENCE 3Y;1;30;30
;12/07/2022;POMPE A ESSENCE 3Y;1;30;30
;;KIT FREIN HIACE 4 VOIES;1;20;20
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;TETE DE TRANSMISSION 23 DENTS;2;12;24
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;ROTULE SUPERIEURE HIACE;1;10;10
;;ROTULE SUPERIEURE HIACE;1;10;10
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;13/07/2022;COUSSINETS PALIER 1RZ 0.25;1;20;20
;;COUSSINETS PALIER 1RZ 0.25;1;20;20
;;COUSSINETS PALIER 1RZ 0.25;1;20;20
;;COUSSINETS PALIER 1RZ 0.25;1;20;20
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;14/07/2022;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;COUSSINETS BIELLE 1S/3S STD;1;20;20
;;COUSSINETS BIELLE 1S/3S STD;1;20;20
;;AMORTISSEUR AR L/C NM E4119;2;22,5;45
;;BOUGIE IRIDIUM OKO (1PCS);4;8,75;35
;15/07/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;INDICATEURS D'HUILE;1;5;5
;16/07/2022;HUILE DE FREIN ORG METAL;1;2;2
;;JOINT DE CULASSE 3S FE;1;5;5
;;JOINT DE CULASSE 3S FE;1;5;5
;;JOINT DE CULASSE 3S FE;1;5;5
;;BATTERIE 70 AMP;1;95;95
;18/07/2022;BATTERIE 70 AMP;1;95;95
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;HUILE CALTEX HAVOLINE 4L;1;20;20
;;SEGMENTS TP 4D56;1;60;60
;;SEGMENTS TP 4D56;1;60;60
;;SEGMENTS TP 4D56;1;60;60
;;SEGMENTS TP 4D56;1;60;60
;;AMORTISSEUR AV RAV4 AM ;2;27,5;55
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;FILTRE A GASOIL FUSO;1;5;5
;19/07/2022;FILTRE A GASOIL FUSO;1;5;5
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;GRAISSE SEAUX;1;35;35
;;JOINT DE CULASSE F8;2;4;8
;;HUILE CITROL SAE 50 5L;3;9,67;29,01
;20/07/2022;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;;COLLE SILICONE TUBE;1;2,5;2,5
;21/07/2022;SEGMENTS ORG HIACE 1RZ;1;100;100
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;VALVE PNEUS;2;0,5;1
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BATTERIE 50 AMP;1;75;75
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;DISQUE D'EMBRAYAGE 2L/2Y;1;15;15
;22/07/2022;VALVE PNEUS;2;0,5;1
;;POMPE HYDRAULIQUE HIACE 1RZ, 2RZ, 3L;1;80;80
;;POMPE HYDRAULIQUE HIACE 1RZ, 2RZ, 3L;1;80;80
;;FILTRE A GASOIL FUSO;1;5;5
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;COUPELLES D'EMBAYGE SUPER 5R;1;3;3
;;COUPELLES D'EMBAYGE SUPER 5R;1;3;3
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;23/07/2022;FILTRE A AIR CANTER (7595);1;15;15
;;BATTERIE 50 AMP;1;75;75
;;BATTERIE 50 AMP;1;75;75
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;SEGMENTS ORG 2RZ;1;100;100
;;COUSSINETS BIELLE 1KR;1;20;20
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;25/07/2022;COUSSINETS BIELLE 1KR;1;20;20
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;POMPE A ESSENCE RIKA (GRDS);1;25;25
;;SEGMENTS ORG 2RZ;1;100;100
;;SEGMENTS ORG 2RZ;1;100;100
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;CHAINE TENDEUR 1RZ/2RZ;1;20;20
;;SEGMENTS ORG 2RZ;1;100;100
;;SEGMENTS ORG 2RZ;1;100;100
;;SEGMENTS ORG 2RZ;1;100;100
;;COLLE SILICONE TUBE;1;3;3
;;BATTERIE 50 AMP;1;75;75
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;SEGMENTS ORG 2RZ;1;100;100
;;COUSSINETS BIELLE 1KR;1;20;20
;26/07/2022;COUSSINETS BIELLE 1KR;1;20;20
;;HUILE DE FREIN ORG METAL;1;1;1
;;DISQUE D'EMBRAYAGE ESCUDO/VITARA;1;20;20
;;DISQUE D'EMBRAYAGE ESCUDO/VITARA;1;20;20
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3,5;14
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3,5;14
;27/07/2022;BATTERIE 70 AMP;1;100;100
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;25;50
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;27,5;55
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;27,5;55
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;27,5;55
;;AMORTISSEUR AV CARINA/COROLLA/T.I./CIKUMI;2;27,5;55
;;FILTRE A AIR L/C (61030);1;18;18
;;FILTRE A AIR L/C (61030);1;18;18
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;;AMORTISSEUR AR RAV4 AM 343271;2;20;40
;;AMORTISSEUR AR RAV4 AM 343271;2;20;40
;;AMORTISSEUR AR RAV4 AM 343271;2;20;40
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CITROL SAE 50 5L;6;9,67;58,02
;;HUILE CALTEX HAVOLINE 1L;1;52;52
;;SEGMENTS ORG 2RZ;1;100;100
;28/07/2022;SEGMENTS ORG 2RZ;1;100;100
;;COLLE SILICONE TUBE;1;3;3
;;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;;COUSSINETS BIELLE 1RZ 0.50;1;20;20
;;HUILE CALTEX HAVOLINE 1L;1;20;20
;;HUILE CALTEX HAVOLINE 1L;1;20;20
;;JOINT DE CULASSE 2AZ;1;9;9
;;JOINT DE CULASSE 2AZ;1;9;9
;29/07/2022;JOINT DE CULASSE 2AZ;1;9;9
;;JOINT DE CULASSE 2AZ;1;9;9
;;JOINT DE CULASSE 2AZ;1;9;9
;;JOINT DE CULASSE 2AZ;1;9;9
;;JOINT DE CULASSE 2AZ;1;9;9
;;JOINT DE CULASSE 2AZ;1;9;9
;;JOINT DE CULASSE 2AZ;1;9;9
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;;COUSSINETS BIELLE 1KR;1;20;20
;;JOINT DE CULASSE 1RZ ORG;1;10;10
;;BATTERIE 50 AMP;1;75;75
;30/07/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;SEGMENTS ORG HIACE 1RZ;1;100;100
;01/08/2022;BATTERIE 50 AMP;2;75;150
;;PLATEAU COROLLA;1;30;30
;;ROTULE AMBOU COROLLA;2;6,5;13
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;RETIEN D'HUILE 1RZ;1;5;5
;;RETIEN D'HUILE 1RZ;1;5;5
;;COUPELLES D'EMBRAYAGE INFERIEUR PAJERO ROUGE;1;5;5
;;GRAISSE 0.5 KG;4;2,5;10
;;DISQUE D'EMBRAYAGE MAZDA/VANETTE 23 DENTS;1;20;20
;;PLATEAU 2L/2Y;1;40;40
;;AMORTISSEUR AV HURRIER NB (BYK);2;30;60
;02/08/2022;POMPE A ESSENCE RIKA (PTS);1;15;15
;;SEGMENTS TP 3Y;1;100;100
;;SEGMENTS TP 3Y;1;100;100
;03/08/2022;JOINT DE CULASSE F8;1;5;5
;;ROTULE AMBOU COROLLA;1;12;12
;;ROTULE AMBOU COROLLA;1;12;12
;;POMPE A HUILE 1RZ;1;100;100
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;RETIEN D'HUILE 1RZ;1;5;5
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;COUPELLES D'EMBRAYAGE INFERIEUR CANTER BLANCS;1;5;5
;;POMPE A HUILE 1RZ;1;100;100
;;COLLE SILICONE TUBE;1;2,5;2,5
;;POMPE A ESSENCE RIKA (PTS);1;15;15
;;FILTRE A HUILE SUZUKI;2;5;10
;;RETIEN D'HUILE 1TR;1;8;8
;04/08/2022;BOITE DE VITESSE HIACE 1RZ/2RZ/3L;1;300;300
;;ROTULE INFERIEURE HIACE;4;8;32
;;ROTULE INFERIEURE HIACE;4;8;32
;;SEGMENTS TP 1NZ;1;60;60
;;DEMARREUR HIACE 1RZ;1;70;70
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;COUPELLES D'EMBRAYAGE SUPERIEUR SEIKEN ORG;1;10;10
;;HUILE DE FREIN ORDINAIRE;1;1;1
;05/08/2022;JOINT DE CULASSE 1RZ ORG;1;10;10
;;COLLE HERMETIC TUBE;1;4;4
;;FILTRE A HUILE HIACE;1;3;3
;;FILTRE A HUILE HIACE;1;3;3
;;HUILE HYDRAULIC 1L;1;24;24
;;SEGMENTS ORG HIACE 1TR;1;100;100
;;SEGMENTS ORG HIACE 1TR;1;100;100
;;HUILE DE FREIN ORDINAIRE;2;1;2
;;HUILE CITROL SAE 50 5L;6;9,6;57,6
;;HUILE CITROL SAE 90 5L;3;10;30
;;ROTULE CENTRALE COROLLA;2;7;14
;;ROTULE AMBOU COROLLA;2;6;12
;;AMBOUS COROLLA/CARINA;2;7;14
;;AMORTISSEUR AV TERIOS 48520-10-87402;2;35;70
;;JOINT DE CULASSE 1TR ORG METAL;1;10;10
;;RETIEN D'HUILE 1RZ;1;5;5
;;COLLE SILICONE TUBE;1;2,5;2,5
;06/08/2022;SEGMENTS ORG HIACE 1RZ;1;100;100
;;FILTRE A HUILE HIACE;2;2,5;5
;;COLLE SILICONE TUBE;1;2;2
;;RETIEN D'HUILE 1TR;1;10;10
;;POMPE D'AMORSAGE L/C 1HZ;1;15;15
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;;AMORTISSEUR AR RAV4 AM 343272;2;27,5;55
;09/08/2022;HUILE CALTEX HAVOLINE 4L;1;20;20
;;FILTRE A HUILE VANETTE;1;3;3
;;FILTRE A HUILE VANETTE;1;3;3
;;FILTRE A HUILE VANETTE;1;3;3
;;HUILE CITROL SAE 50 5L;3;9,6;28,8
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;POMPE A HUILE 1RZ;1;100;100
;;FILTRE A HUILE HIACE;1;3;3
;10/08/2022;POMPE A ESSENCE RIKA (PTS);1;15;15
;;FILTRE A GASOIL FUSO;1;5;5
;;FILTRE A GASOIL FUSO;1;10;0
;;COLLE HERMETIC TUBE;1;4;4
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;PNEU 195 R15 HIACE;1;75;75
;;BOITE DE VITESSE HIACE 1RZ/2RZ/3L;1;340;340
;;BOITE DE VITESSE HIACE 1RZ/2RZ/3L;1;340;340
;;PLATEAU HIACE;1;30;30
;;PLATEAU HIACE;1;30;30
;;KIT CYLINDRE AMBRAYAGE SUPER HIACE;1;20;20
;;KIT CYLINDRE AMBRAYAGE SUPER HIACE;1;15;0
;;ROTULE CENTRALE HIACE;2;7;14
;;ROTULE AMBOU HIACE;2;6;12
;;AMBOUS COROLLA/CARINA;2;7;14
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;11/08/2022;HUILE HYDRAULIC 5L;1;12,5;12,5
;;HUILE CITROL SAE 50 1L;1;12;12
;;FILTRE A HUILE HIACE;1;3;3
;;ROTULE CENTRALE COROLLA;3;7;21
;;HUILE CITROL SAE 50 5L;6;9,6;57,6
;12/08/2022;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;1;23;23
;;COUPELLES D'EMBAYAGE SUPER 1RZ;2;2,5;5
;;PLATEAU HIACE;1;30;30
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
;;AMORTISSEUR AR CARINA/COROLLA/T.I./CIKUMI;2;23;46
