code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;02/05/2022;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;5;5
;;DISQUE D'EMBRAYAGE ESCUDO/VITARA;1;20;20
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;02/07/2022;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;;COUSSINETS BIELLE 1NZ, 2NZ STD;1;15;15
;;INDICATEURS D'HUILE;1;5;5
;;AMORTISSEUR AR L/C AM E3375;1;15;15
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;;RETIEN D'HUILE 1NZ;1;5;5
;;BOUGIE DENSO 16 CRAYON (4PCS);4;3;12
;02/08/2022;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;;COLLE HERMETIC TUBE;1;3;3
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;TETE DE TRANSMISSION 23 DENTS;1;12;12
;;BOUGIE DENSO W20 ORD (4PCS);4;3;12
;02/09/2022;JOINT DE CULASSE 1RZ ORG;1;10;10
;;JOINT DE CULASSE 4Y;1;5;5
;;FILTRE A HUILE HIACE;1;5;5
;;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;5;5
;;COUSSINETS BIELLE 1RZ 0.100;1;20;20
;;CABLE D'EMBRAYAGE SUZUKI SAMURAI G13;1;30;30
;02/10/2022;COUPELLES D'EMBAYGE SUPER 5R;1;5;5
;;FILTRE A GASOIL FUSO;1;5;5
;;POMPE D'AMORSAGE L/C 1HZ;1;15;15
;;FILTRE A GASOIL FUSO;1;5;5
;;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;0;0
;;PLAQUETTE L/C AM;1;15;15
;02/11/2022;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;0;0
;;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;0;0
